Material,SMILES,Type,PL
BTD41,C12=NSN=C1C(C3=CC=C(/C=C/C=C/C4=CC=CC=C4)S3)=CC=C2C5=CC=C(/C=C/C=C/C6=CC=CC=C6)S5,BTD,666.0
BTD42,FC(C=C1)=CC=C1C2=CC=C(C3=CC=C(F)C=C3)C4=NSN=C42,BTD,495.0
BTD43,ClC(C=C1)=CC=C1C2=CC=C(C3=CC=C(Cl)C=C3)C4=NSN=C42,BTD,490.0
BTD44,BrC(C=C1)=CC=C1C2=CC=C(C3=CC=C(Br)C=C3)C4=NSN=C42,BTD,492.0
BTD45,IC(C=C1)=CC=C1C2=CC=C(C3=CC=C(I)C=C3)C4=NSN=C42,BTD,475.0
BTD46,C12=NSN=C1C(C3=CC=C(C4=CC=CS4)C=C3)=CC=C2C5=CC=C(C6=CC=CS6)C=C5,BTD,525.0
BTD47,C12=NSN=C1C(C3=CC=C(C4=CC=CS4)S3)=CC=C2C5=CC=C(C6=CC=CS6)S5,BTD,611.0
BTD48,C12=NSN=C1C(C3=CC4=C(C=CC=C4)S3)=CC=C2C5=CC(C=CC=C6)=C6S5,BTD,548.0
BTD49,C12=NSN=C1C(C3=CC=NC=C3)=CC=C2C4=CC=NC=C4,BTD,437.0
BTD50,C12=NSN=C1C(C3=CC=CC=C3C4=CC=CC=C4)=CC=C2C5=CC=CC=C5C6=CC=CC=C6,BTD,486.0
BTD51,C12=NSN=C1C(C3=CC=CC(C4=CC=CC=C4)=C3)=CC=C2C5=CC=CC(C6=CC=CC=C6)=C5,BTD,479.0
BTD52,C12=NSN=C1C(C3=CC=C(C4=CC=CC=C4)C=C3)=CC=C2C5=CC=C(C6=CC=CC=C6)C=C5,BTD,502.0
BTD53,C12=NSN=C1C(C3=CC=C(C=CC=C4)C4=C3)=CC=C2C5=CC=C(C=CC=C6)C6=C5,BTD,509.0
BTD54,CC(C=C1)=CC=C1C2=CC=C(C3=CC=C(C)C=C3)C4=NSN=C42,BTD,499.0
BTD55,OC(C=C1)=CC=C1C2=CC=C(C3=CC=C(O)C=C3)C4=NSN=C42,BTD,524.0
BTD56,COC(C=C1)=CC=C1C2=CC=C(C3=CC=C(OC)C=C3)C4=NSN=C42,BTD,525.0
BTD57,N#CC(C=C1)=CC=C1C2=CC=C(C3=CC=C(C#N)C=C3)C4=NSN=C42,BTD,457.0
BTD58,FC(C(C=C1)=CC=C1C2=CC=C(C3=CC=C(C(F)(F)F)C=C3)C4=NSN=C42)(F)F,BTD,459.0
BTD59,O=[N+](C(C=C1)=CC=C1C2=CC=C(C3=CC=C([N+]([O-])=O)C=C3)C4=NSN=C42)[O-],BTD,455.0
BTD60,CC(C=C1)=CC=C1/C=C/C2=CC=C(/C=C/C3=CC=C(C)C=C3)C4=NSN=C42,BTD,578.0
BTD61,COC(C=C1)=CC=C1/C=C/C2=CC=C(/C=C/C3=CC=C(OC)C=C3)C4=NSN=C42,BTD,602.0
BTD62,CC(C=C(C)C=C1C)=C1B(C2=C(C)C=C(C)C=C2C)C(C=C3)=CC=C3C4=CC=C(C5=CC=C(B(C6=C(C)C=C(C)C=C6C)C7=C(C)C=C(C)C=C7C)C=C5)C8=NSN=C84,BTD,477.0
BTD63,C[Si](C)(C)C(C=C1)=CC=C1C(C=C2)=CC=C2C3=CC=C(C4=CC=C(C5=CC=C([Si](C)(C)C)C=C5)C=C4)C6=NSN=C63,BTD,516.0
BTD64,C[Si](C)(C)C(S1)=CC=C1C(C=C2)=CC=C2C3=CC=C(C4=CC=C(C5=CC=C([Si](C)(C)C)S5)C=C4)C6=NSN=C63,BTD,540.0
BTD65,C[Si](C)(C)C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C([Si](C)(C)C)C=C5)S4)C6=NSN=C63)S2)C=C1,BTD,620.0
BTD66,C[Si](C)(C)C(S1)=CC=C1C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C([Si](C)(C)C)S5)S4)C6=NSN=C63)S2,BTD,656.0
BTD67,CN(C)C(C=C1)=CC=C1C2=CC=C(C3=CC=C(N(C)C)C=C3)C4=NSN=C42,BTD,624.0
BTD68,CN(C)C(C=C1)=CC=C1C2=CC=C(C3=CC=C(N(C)C)C=C3)C4=NSN=C42,BTD,680.0
BTD69,C12=NSN=C1C(C3=CC=C(C(C4=CC=CC=C4)C5=C(C=CC=C6)C6=CC=C5)C=C3)=CC=C2C7=CC=C(C(C8=CC=CC9=C8C=CC=C9)C%10=CC=CC=C%10)C=C7,BTD,588.0
BTD70,C12=NSN=C1C(C3=CC=C(C(C4=CC=CC=C4)C5=C(C=CC=C6)C6=CC=C5)C=C3)=CC=C2C7=CC=C(C(C8=CC=CC9=C8C=CC=C9)C%10=CC=CC=C%10)C=C7,BTD,634.0
BTD71,C12=NSN=C1C(C3=CC=C(N(C4=CC=CC=C4)C5=CC(C=CC=C6)=C6C=C5)C=C3)=CC=C2C7=CC=C(N(C8=CC=C(C=CC=C9)C9=C8)C%10=CC=CC=C%10)C=C7,BTD,591.0
BTD72,C12=NSN=C1C(C3=CC=C(N(C4=CC=CC=C4)C5=CC(C=CC=C6)=C6C=C5)C=C3)=CC=C2C7=CC=C(N(C8=CC=C(C=CC=C9)C9=C8)C%10=CC=CC=C%10)C=C7,BTD,646.0
